"AnnotationId","AnnotationDescription","AnnotationMeasurementType","AnnotationGeometryType","AnnotationDateCreated","AnnotationDateModified","AnnotationLabel","AnnotationElevation","AnnotationLatAndLong","AnnotationNorthingAndEasting","AnnotationProjection","AnnotationTemperature","AnnotationLength","AnnotationHorizontalLength","AnnotationSurfaceLength","AnnotationVertical","AnnotationSlope","AnnotationDimensionLength","AnnotationDimensionWidth","AnnotationArea","AnnotationSurfaceArea","AnnotationCut","AnnotationFill","AnnotationNetVolume","Tolerance","AnnotationCount","AnnotationRadius","AnnotationPerimeter","AnnotationLink"
"6a7e20acf1248caaa356f9ee","Observation: Reduced crop vigour: Likely cause: Soil fertility: Recommendation: Soil testing to identify nutrient deficiencies and guide the correct fertilizer application for improved plant growth","AREA","polygon","2026-08-13T19:53:16.310000","2026-08-14T12:49:08.646000","#f50057","","","","WGS 84 / UTM zone 37N (metre)","","","","","","","","","3.76 ac","4.20 ac","16165.20 yd³","804.22 yd³","-15360.98 yd³","","","","","https://www.dronedeploy.com/app2/sites/6a7dd6a0a60988d0086feb31/maps/6a7dd792b71c696815f14caa/annotations?view=Annotation&viewId=6a7e20acf1248caaa356f9ee"
"6a7e21f6245583e5ef44660c","Observation: Uneven growth: likely cause: Water Stress:  low pressure at the end of the drip line which cause slow growth/emergence of the potatoes in that section: Recommendation:  compare water collected in this section with the healthy section and adjust irrigation accordingly","AREA","polygon","2026-08-13T19:58:46.776000","2026-08-14T15:20:11.845000","#f50057","","","","WGS 84 / UTM zone 37N (metre)","","","","","","","","","0.77 ac","0.82 ac","127.99 yd³","408.86 yd³","280.87 yd³","","","","","https://www.dronedeploy.com/app2/sites/6a7dd6a0a60988d0086feb31/maps/6a7dd792b71c696815f14caa/annotations?view=Annotation&viewId=6a7e21f6245583e5ef44660c"
"6a7e273db057a7c3903a3d0c","Observation: Reduced crop vigour, weeds overgrowth: Likely cause: soil fertility: Recommendation:  soils testing to identify nutrient deficiencies and guide the correct fertilizer application for improved plant growth and weeding","AREA","polygon","2026-08-13T20:21:17.876000","2026-08-14T12:48:43.011000","#f50057","","","","WGS 84 / UTM zone 37N (metre)","","","","","","","","","2.54 ac","2.72 ac","","","","","","","","https://www.dronedeploy.com/app2/sites/6a7dd6a0a60988d0086feb31/maps/6a7dd792b71c696815f14caa/annotations?view=Annotation&viewId=6a7e273db057a7c3903a3d0c"
"6a7e353b4ec72d71efff5123","Observation: uneven germination, weeds. Likely cause: overmounding/ too much soil cover, water stress. Recommendation:  Reduce soil cover and maintain proper mound height. Oversee the process to avoid overmounding.","AREA","polygon","2026-08-13T21:20:59.195000","2026-08-14T17:02:59.911000","#f50057","","","","WGS 84 / UTM zone 37N (metre)","","","","","","","","","4.09 ac","4.48 ac","","","","","","","","https://www.dronedeploy.com/app2/sites/6a7dd6a0a60988d0086feb31/maps/6a7dd792b71c696815f14caa/annotations?view=Annotation&viewId=6a7e353b4ec72d71efff5123"
"6a7e39c757fc15be03f3fdc6","Observation: PLant vigour Likely cause: water stress: Recommendation:Compare the amount of water the other section is collecting and compare with this particular section.","AREA","polygon","2026-08-13T21:40:23.608000","2026-08-13T21:43:21.895000","#f50057","","","","WGS 84 / UTM zone 37N (metre)","","","","","","","","","0.25 ac","0.27 ac","","","","","","","","https://www.dronedeploy.com/app2/sites/6a7dd6a0a60988d0086feb31/maps/6a7dd792b71c696815f14caa/annotations?view=Annotation&viewId=6a7e39c757fc15be03f3fdc6"
"6a7e3a9e18473bab3dcd1587","Observation: Poor emergence Likely cause: Water stress: Recommendation: Fixing drip line on the ridge","AREA","polygon","2026-08-13T21:43:58.010000","2026-08-14T12:50:22.602000","#f50057","","","","WGS 84 / UTM zone 37N (metre)","","","","","","","","","1000.18 ft²","1107.63 ft²","","","","","","","","https://www.dronedeploy.com/app2/sites/6a7dd6a0a60988d0086feb31/maps/6a7dd792b71c696815f14caa/annotations?view=Annotation&viewId=6a7e3a9e18473bab3dcd1587"
"6a7e3b609abb2da9be172720","Observation: weeds Likely cause:   Recommendation: weeding","AREA","polygon","2026-08-13T21:47:12.888000","2026-08-14T15:18:46.600000","#f50057","","","","WGS 84 / UTM zone 37N (metre)","","","","","","","","","329.92 ft²","366.87 ft²","","","","","","","","https://www.dronedeploy.com/app2/sites/6a7dd6a0a60988d0086feb31/maps/6a7dd792b71c696815f14caa/annotations?view=Annotation&viewId=6a7e3b609abb2da9be172720"
"6a7e3c643cd5a953bd8e23d8",".Observation: Poor plant vigour. Likely cause: Soil fertility. Recommendation:Soil testing","AREA","polygon","2026-08-13T21:51:32.890000","2026-08-14T17:03:06.152000","#f50057","","","","WGS 84 / UTM zone 37N (metre)","","","","","","","","","0.76 ac","0.86 ac","","","","","","","","https://www.dronedeploy.com/app2/sites/6a7dd6a0a60988d0086feb31/maps/6a7dd792b71c696815f14caa/annotations?view=Annotation&viewId=6a7e3c643cd5a953bd8e23d8"
"6a7e4048d4905313010eb68c","Observation: Poor plant vigour: Likely cause: Inadequate moisture, nutrient uptake: Recommendation: Soil testing, Compare water collected in this section with the healthy  section and adjust irrigation accordingly.","AREA","polygon","2026-08-13T22:08:08.084000","2026-08-14T18:48:58.319000","#f50057","","","","WGS 84 / UTM zone 37N (metre)","","","","","","","","","0.65 ac","0.70 ac","","","","","","","","https://www.dronedeploy.com/app2/sites/6a7dd6a0a60988d0086feb31/maps/6a7dd792b71c696815f14caa/annotations?view=Annotation&viewId=6a7e4048d4905313010eb68c"
"6a7e4084e626dc090f07ad86","Observation: Poor plant vigour: Likely cause: Soil condition, nutrient uptake: Recommendation: Soil testing to identify nutrient deficiencies and guide the correct fertilizer application for improved plant growth","AREA","polygon","2026-08-13T22:09:08.403000","2026-08-14T12:43:59.943000","#f50057","","","","WGS 84 / UTM zone 37N (metre)","","","","","","","","","0.60 ac","0.66 ac","","","","","","","","https://www.dronedeploy.com/app2/sites/6a7dd6a0a60988d0086feb31/maps/6a7dd792b71c696815f14caa/annotations?view=Annotation&viewId=6a7e4084e626dc090f07ad86"
